symbol,log2fold_change,p_value,-log10(p_value),regulation
STRA13,0.291212804,0.165065903,0.7823426279381331,Not significant
LRRC45,-0.020506206,0.918908217,0.036727864937142474,Not significant
RAC3,0.216381241,0.370655271,0.4310298195003206,Not significant
DCXR,0.377471747,0.081745107,1.0875382333648826,Not significant
RFNG,0.064452533,0.729158306,0.1371781726992066,Not significant
GPS1,0.274085666,0.128140987,0.8923119351982022,Not significant
DUS1L,0.051038823,0.760717221,0.11877675214169672,Not significant
FASN,-0.466753398,0.081319447,1.0898055833746911,Not significant
CCDC57,-0.088783354,0.620510608,0.20725078957784743,Not significant
SLC16A3,-0.120580176,0.610221306,0.21451263294944098,Not significant
MIR6787,0.084699639,0.728823675,0.1373775282484788,Not significant
CSNK1D,0.206871377,0.141235594,0.8500558391925843,Not significant
CD7,0.205242671,0.484406444,0.31479008812389325,Not significant
SECTM1,-0.151156446,0.508909225,0.2933596765971639,Not significant
TEX19,0.748913754,0.01744978,1.7582100440852202,Not significant
UTS2R,0.401624016,0.209077067,0.6796936009535195,Not significant
OGFOD3,0.245803566,0.094728332,1.0235201097925986,Not significant
HEXDC,0.140261936,0.388269135,0.41086713181284323,Not significant
C17orf62,-0.010494228,0.950781988,0.021919054316915803,Not significant
NARF,0.038139039,0.808805058,0.09215614147415122,Not significant
FOXK2,-0.089506856,0.530675245,0.2751711709171598,Not significant
WDR45B,0.128341763,0.356241802,0.448255121052566,Not significant
RAB40B,-0.146437248,0.36157535,0.44180118473396307,Not significant
MIR4525,0.289376952,0.346382038,0.46044463686179166,Not significant
FN3KRP,0.224451104,0.13298688,0.876191202827369,Not significant
FN3K,0.47863313,0.0141501,1.8492404909315827,Not significant
TBCD,0.178462334,0.299198935,0.5240399566780521,Not significant
ZNF750,0.04865512,0.780627613,0.10755609056254897,Not significant
B3GNTL1,0.055252369,0.741124429,0.13010887124943518,Not significant
METRNL,0.107267536,0.588609409,0.23017279992563616,Not significant
RPL23AP87,-0.227963913,0.470878395,0.3270912355448198,Not significant
MGC70870,0.207393816,0.409220492,0.38804262681790885,Not significant
ROCK1P1,0.503826203,0.08819685,1.0545469256623712,Not significant
MIR8078,0.953179606,0.002520394,2.5985315629285157,Not significant
USP14,-0.112743734,0.514606007,0.2885251485731529,Not significant
THOC1,-0.500987782,0.000500947,3.300208219891487,Not significant
COLEC12,0.222031666,0.347134898,0.4595017238481051,Not significant
CETN1,0.536865972,0.040083433,1.3970350898077752,Not significant
CLUL1,0.248347073,0.293823855,0.5319129475713027,Not significant
TYMSOS,-0.252712588,0.416285322,0.3806089018367059,Not significant
TYMS,-0.111944674,0.555152928,0.25558736527748827,Not significant
ENOSF1,-0.199571803,0.130263812,0.8851762169162637,Not significant
YES1,-0.112124215,0.572426132,0.2422805483498063,Not significant
ADCYAP1,0.311334575,0.322601718,0.49133332412643366,Not significant
LINC00470,0.630612269,0.04309096,1.365613830393916,Not significant
METTL4,-0.204217383,0.14952117,0.825297313270772,Not significant
NDC80,-0.032669965,0.90501411,0.043344649692730775,Not significant
CBX3P2,-0.064207483,0.823224925,0.0844814887970238,Not significant
SMCHD1,-0.373112427,0.01711869,1.766529472575871,Not significant
EMILIN2,0.431643655,0.003744105,2.4266519803716524,Not significant
LPIN2,0.02262862,0.858860711,0.06607726381616241,Not significant
LOC727896,0.225422955,0.304027415,0.5170872530807252,Not significant
MYOM1,0.319240398,0.131214448,0.8820183422377249,Not significant
MYL12A,0.163121105,0.230228015,0.6378418309250271,Not significant
LOC104968399,0.32945289,0.160393892,0.7948121742139708,Not significant
MYL12B,0.124926873,0.215292935,0.6669702216435738,Not significant
TGIF1,0.237532188,0.038999183,1.408944490981405,Not significant
GAPLINC,-0.165960947,0.559525972,0.25217974964591733,Not significant
DLGAP1,0.398979552,0.199666091,0.6996956844633252,Not significant
DLGAP1-AS1,-0.16642294,0.322522688,0.4914397293182301,Not significant
DLGAP1-AS2,-0.126200794,0.62569308,0.20363864817803842,Not significant
DLGAP1-AS3,0.326726316,0.306048334,0.5142099802771158,Not significant
MIR6718,0.529307526,0.060196032,1.2204321356076326,Not significant
DLGAP1-AS4,0.136568356,0.670011631,0.1739176581420464,Not significant
DLGAP1-AS5,0.440363712,0.166392448,0.7788663887806052,Not significant
C18orf42,1.076933951,0.000417507,3.379336238657294,Upregulated
LINC00526,-0.032980681,0.905390869,0.04316388974236885,Not significant
LINC00667,0.004168269,0.979374663,0.009051135626788987,Not significant
ZBTB14,-0.27353552800000003,0.024562555,1.6097264598155714,Not significant
EPB41L3,0.057803659,0.764194376,0.11679616277578815,Not significant
MIR3976HG,0.666943673,0.012798428,1.892843370418671,Not significant
MIR3976,0.067123731,0.693576367,0.15890571347929675,Not significant
TMEM200C,-0.250315066,0.380856126,0.41923905446839277,Not significant
L3MBTL4,0.000709652,0.997365076,0.001145843222161494,Not significant
L3MBTL4-AS1,0.094868451,0.722267088,0.14130217445944246,Not significant
MIR4317,-0.2512186,0.425016728,0.37159397645527853,Not significant
LINC01387,0.714531645,0.014396764,1.841735114493418,Not significant
ARHGAP28,-0.270248075,0.177012695,0.7519955857809103,Not significant
LINC00668,1.054803041,0.000943272,3.025363056927729,Upregulated
LAMA1,0.118444268,0.601940446,0.220446474278689,Not significant
LOC101927188,0.504044544,0.112199721,0.9500082230113289,Not significant
LRRC30,0.191951886,0.344746129,0.4625006016231144,Not significant
PTPRM,0.003877735,0.979811859,0.008857308432359306,Not significant
LOC100192426,0.056348704,0.823355596,0.0844125584366313,Not significant
RAB12,-0.113544396,0.4148074,0.3821535045720525,Not significant
GACAT2,0.746519726,0.017228218,1.7637596414602819,Not significant
MTCL1,0.193201689,0.360384477,0.44323392384844484,Not significant
NDUFV2,0.006591233,0.962444152,0.01662446200847181,Not significant
NDUFV2-AS1,-0.084346966,0.638524076,0.19482272271252044,Not significant
ANKRD12,-0.152046232,0.364312977,0.43852535870835907,Not significant
TWSG1,-0.306877128,0.062765168,1.20228130438596,Not significant
RALBP1,0.213989465,0.048156263,1.3173472223617202,Not significant
PPP4R1,-0.143610448,0.123579132,0.908054859525504,Not significant
PPP4R1-AS1,-0.054088488,0.861238307,0.06487666144408558,Not significant
RAB31,-0.036449092,0.863361255,0.06380744504419622,Not significant
TXNDC2,0.75187997,0.018057998,1.7433303994127232,Not significant
VAPA,-0.276844185,0.03974002,1.400771918658326,Not significant
LINC01254,0.650058971,0.024939353,1.603114817584605,Not significant
APCDD1,0.208094303,0.339016439,0.46977924222791995,Not significant
NAPG,-0.276018047,0.062971219,1.2008578995223094,Not significant
LOC101927410,0.182846534,0.568422149,0.24532900780109893,Not significant
PIEZO2,-0.374232736,0.170873847,0.7673244028892394,Not significant
MIR6788,0.015941301,0.904635617,0.043526317361654104,Not significant
LINC01255,0.703702558,0.010743182,1.9688670668332506,Not significant
SLC35G4,0.118089559,0.526290034,0.2787748538470324,Not significant
MIR7153,0.039601825,0.765986171,0.11577907098437303,Not significant
GNAL,-0.194193566,0.229347756,0.6395055047649832,Not significant
CHMP1B,0.006222735,0.961838783,0.016897715405991134,Not significant
MPPE1,0.025586657,0.857637619,0.06669617755126499,Not significant
IMPA2,-0.042913933,0.830608212,0.08060377945217581,Not significant
ANKRD62,1.249052498,8.43e-05,4.074172425375258,Upregulated
C18orf61,1.2451591,9.03e-05,4.044312249686494,Upregulated
CIDEA,0.873560108,0.005980414,2.2232687505112514,Not significant
TUBB6,-0.017448046,0.914537167,0.03879864000166068,Not significant
AFG3L2,0.053018489,0.613869336,0.2119240599550961,Not significant
SLMO1,-0.139762778,0.473119861,0.3250288204112571,Not significant
SPIRE1,-0.135020923,0.325201638,0.48784727558544233,Not significant
PSMG2,-0.063337153,0.591633008,0.22794760412686693,Not significant
CEP76,-0.188986461,0.278637754,0.5549600392293264,Not significant
LOC100996324,0.563121159,0.039408018,1.4044154071366486,Not significant
PTPN2,-0.147459008,0.26839634,0.571223410740905,Not significant
SEH1L,-0.266267484,0.063751813,1.195507460075188,Not significant
CEP192,-0.38600055,0.000630631,3.2002246843999926,Not significant
LDLRAD4,-0.105208609,0.576204814,0.23942311765417867,Not significant
LDLRAD4-AS1,0.173212237,0.393858542,0.40465973111827613,Not significant
MIR5190,0.492801582,0.040669498,1.3907311882341005,Not significant
MIR4526,0.414073837,0.178802987,0.7476252303567574,Not significant
FAM210A,-0.114691712,0.392420339,0.40624849138751484,Not significant
RNMT,-0.222458224,0.021564486,1.666260889014623,Not significant
MC5R,0.419759679,0.131302673,0.881726432651314,Not significant
MC2R,0.947029821,0.002316519,2.6351641333795324,Not significant
ZNF519,-0.446007477,0.008849242,2.053093928094923,Not significant
ANKRD20A5P,-0.298648321,0.301788315,0.5202975797667395,Not significant
CYP4F35P,0.243425233,0.432613223,0.36390021030568903,Not significant
CXADRP3,-0.28401574,0.357068188,0.44724884034622436,Not significant
POTEC,-0.346008326,0.27945991,0.5536804851462882,Not significant
ANKRD30B,-0.192589505,0.545417542,0.26327089816687355,Not significant
MIR3156-2,0.404534362,0.185532552,0.7315798816623661,Not significant
LINC01443,0.600046405,0.058471775,1.2330537222905638,Not significant
LINC01444,0.183478882,0.538915332,0.26847946066398964,Not significant
LOC644669,1.069123782,0.000410295,3.3869037754670153,Upregulated
ROCK1,-0.115141938,0.37647301,0.42426615366840065,Not significant
GREB1L,-0.356851166,0.165488937,0.7812310336734251,Not significant
ESCO1,-0.334356848,0.050572669,1.296084125636098,Not significant
SNRPD1,0.012190556,0.942431201,0.025750344163700048,Not significant
ABHD3,-0.039475457,0.824007985,0.08406857977784112,Not significant
MIR320C1,-0.078321587,0.798836043,0.09754234825442375,Not significant
MIB1,-0.28307933,0.045383028,1.3431065309319175,Not significant
MIR133A1HG,-0.280267936,0.164161199,0.7847294845581524,Not significant
GATA6-AS1,0.252291203,0.431007499,0.36551517358407654,Not significant
GATA6,-0.092426572,0.647167632,0.18898321203132168,Not significant
CTAGE1,1.201406804,0.00013748,3.8617604765348124,Upregulated
LOC101927571,0.180036752,0.560953587,0.2510730705507041,Not significant
RBBP8,0.011150422,0.959614375,0.017903254934701705,Not significant
CABLES1,-0.071204151,0.569873606,0.2442214571409323,Not significant
TMEM241,0.043148753,0.755699418,0.12165091225289519,Not significant
RIOK3,-0.305519998,0.025641133,1.5910627886393103,Not significant
C18orf8,-0.032590521,0.785131322,0.10505769656680948,Not significant
NPC1,0.041940727,0.685435932,0.16403313267491285,Not significant
ANKRD29,0.047267315,0.852631711,0.06923851914817512,Not significant
LAMA3,0.036663328,0.880084354,0.05547569975777858,Not significant
TTC39C,0.01807208,0.926349939,0.03322492274823225,Not significant
TTC39C-AS1,0.03972421,0.893040727,0.04912873471947139,Not significant
CABYR,-0.351373546,0.112353729,0.9494125088501257,Not significant
OSBPL1A,0.04068691,0.789315626,0.10274929942648549,Not significant
MIR320C2,-0.159953343,0.613392674,0.21226141527947753,Not significant
IMPACT,-0.126842598,0.431509776,0.36500936074886137,Not significant
HRH4,0.51193148,0.100419313,0.9981827540962034,Not significant
LOC729950,0.494037956,0.114189904,0.9423722921577321,Not significant
ZNF521,-0.246325785,0.22324518,0.6512179090217247,Not significant
SS18,-0.116546194,0.377496983,0.4230865149531712,Not significant
PSMA8,0.883057531,0.00560876,2.251133143143568,Not significant
TAF4B,-0.00187648,0.992723914,0.0031715161549893795,Not significant
LINC01543,0.77004221,0.012430561,1.9055092708992676,Not significant
KCTD1,0.009980912,0.943352205,0.025326131090723677,Not significant
MIR8057,0.016587223,0.95860879,0.018358593046094322,Not significant
PCAT18,-0.083737931,0.790865563,0.10189733471895301,Not significant
