reaction,minimum,maximum,status
EX_6htststerone_e,0.0,0.1,Inactive
ATPasel_1,0.0,0.1,Inactive
ATPtn,0.0,0.1,Inactive
ATPtx,-0.1999999999999999,0.1,Active
AVITE2t,0.0,0.1,Inactive
B3GALT3g,0.0,0.0499999999999999,Inactive
B3GALT42g,0.0,0.1,Inactive
B3GALTg,0.0,0.05,Inactive
B3GNT11g,0.0,0.0249999999999999,Inactive
B3GNT310g,0.0,0.0499999999999999,Inactive
B3GNT315g,0.0,0.0166666666666666,Inactive
B3GNT31g,0.0,0.0250000000000004,Inactive
B3GNT34g,0.0,0.0200000000000001,Inactive
B3GNT37g,0.0,0.0500000000000006,Inactive
B3GNT39g,0.0,0.1,Inactive
B3GNT51g,0.0,0.05,Inactive
BAAT1x,0.0,0.1,Inactive
BAAT3x,0.0,0.1,Inactive
BACCL,0.0,0.1,Inactive
BALAVECSEC_1,0.0,0.1,Inactive
BDHm,-0.1000000000000017,0.0999999999999999,Active
BETALDHxm,0.0,0.1000000000000001,Inactive
BHBtm,-0.1,0.1,Active
BHMT,0.0,0.1,Inactive
BILDGLCURt,-0.6,0.1,Active
BTNDm,0.0,0.1,Inactive
BTNPL,0.0,0.1,Inactive
BTNt2m,0.0,0.1,Inactive
BTNt3i_1,0.0,0.1,Inactive
BVITEt,0.0,0.1,Inactive
BZtr,-0.1,0.0,Inactive
C160CPT1,-0.6999999999999998,0.1,Active
C160CPT2,-0.3999999999999999,0.1,Active
C160CRNt,-0.4999999999999999,0.1,Active
C161CPT1,-0.3,0.1,Active
C161CPT12,-0.0833333333333333,0.1,Active
C161CPT2,-0.4000000000000003,0.1,Active
C161CRN2t,-1000.0,0.1,Active
C161CRNt,-0.5000000000000003,0.1,Active
C180CPT1,-0.4000000000000001,0.1,Active
C181CPT1,-0.5000000000000017,0.1,Active
C181CRNt,-0.3,0.1,Active
C204CPT1,-0.2999999999999999,0.1,Active
C204CPT2,-0.1,0.1,Active
C226COAtx,-0.2000000000000001,0.1,Active
C226CPT1,0.0,0.1,Inactive
C226CPT2,0.0,0.1,Inactive
C226CRNt,-1000.0,0.1,Active
C3STDH1r,0.0,0.0333333333333333,Inactive
C4STMO1r,0.0,0.0333333333333333,Inactive
C4STMO2Pr,0.0,0.0333333333333318,Inactive
CAATPS_1,0.0,0.1,Inactive
CAROtr,0.0,0.0999999999999997,Inactive
CAt7r,-1000.0,0.1,Active
CATm,0.0,0.1,Inactive
CATp,0.0,0.1,Inactive
CBL2tm,0.0,0.1,Inactive
CBPPer,0.0,0.1,Inactive
CBR2,0.0,0.1,Inactive
CDIPTr,-0.1015242315067697,0.1,Active
CDPDAGtm,-0.0999999999999995,1.10820410686101e-17,Active
CDS,0.0,0.1,Inactive
CERT1gt,-0.0999999999999992,0.1,Active
CERT1rt,0.0,0.1,Inactive
CERT2rt,-0.0999999999999999,0.1,Active
CH25H,0.0,0.1,Inactive
CHATn,-0.1,0.1,Active
CHLP,0.0,0.1,Inactive
CHOLD2m,0.0,0.1000000000000009,Inactive
CHOLK,0.0,0.1,Inactive
CHOLPtl,-0.1,0.0,Inactive
CHOLtn,-0.1,0.1,Active
CHOLtr,0.0,0.1,Inactive
CHSTEROLt3,-0.2,0.1,Active
CITRtm,-0.8000000000000006,0.1,Active
CITtam,-1000.0,0.1,Active
CK_cho,0.0,0.1,Inactive
CLHCO3tex2,0.0,0.1,Inactive
CLOXAtex2,0.0,0.1,Inactive
CLPNDCOAtx,-0.1,0.1,Active
CLPNDCPT1,0.0,0.1,Inactive
CLPNDt,-0.1,0.1,Active
CMPACNAtn,0.0,0.1,Inactive
ACNMCT,0.0,0.1,Inactive
CO2tg,-0.0166666666666667,0.0,Inactive
CO2tm,-2.6972674418412805,0.1,Active
COAtim,-1000.0,0.1,Active
COKECBESr,0.0,0.1,Inactive
COQ3m,0.0,0.02,Inactive
COQ6m,0.0,0.02,Inactive
COQ7m,0.0,0.02,Inactive
CORE3GTg,0.0,0.033333333333333,Inactive
CORE6GTg,0.0,0.0333333333333333,Inactive
CORE7GTg,0.0,0.0500000000000004,Inactive
CREATt4_2_r,-1000.0,0.1,Active
CREATtmdiffir,0.0,0.1,Inactive
CRMPte,-0.1,0.1000000000000002,Active
CRNCAR3tp,0.0,0.1,Inactive
CRNCARtp,0.0,0.1,Inactive
CRNt,-0.4,0.1,Active
CRNtHa,0.0,0.1,Inactive
CRNtuNa,0.0,0.1,Inactive
CRTNsyn_cho,0.0,0.0999999999999995,Inactive
CRTSLt,-0.0999999999999994,0.1,Active
CRTSLtm,-0.0999999999999995,0.0,Inactive
CRTSLtr,-0.2,0.1000000000000001,Active
CRVNCtr,-1000.0,0.1,Active
CSAPASEly,0.0,0.03,Inactive
CSCPASEly,-3.624512490464296e-30,0.03,Active
CSEPASEly,0.0,0.0166666666666667,Inactive
CSNAT2m,-0.5000000000000004,0.1,Active
CSNAT2x,-0.0999999999999999,0.1,Active
CSNAT3x,0.0,0.1,Inactive
CSNATm,-2.780476,0.1,Active
CSNATp,-2.0999999999999988,0.1,Active
CSNATr,-2.4804760000000003,0.1,Active
CSPG_Atly,0.0,0.0300000000000002,Inactive
CSPG_Ct,0.0,0.0166666666666666,Inactive
CSPG_Ctly,0.0,0.03,Inactive
CSPG_Dt,0.0,0.0166666666666661,Inactive
CSPG_Dtly,0.0,0.02,Inactive
CTPtn,0.0,0.1,Inactive
CYANt,-1.6170670986610393e-17,0.1,Active
CYANtm,0.0,0.1,Inactive
CYSALANaEx,0.0,0.1,Inactive
CYSASNNaEx,0.0,0.1,Inactive
CYSGLYex,-1000.0,0.1,Active
CYSO,0.0,0.1,Inactive
CYSSERNaEx,0.0,0.1,Inactive
CYStec,-1000.0,0.1,Active
CYSTGLUex,0.0,0.1,Inactive
CYTD,0.0,0.1,Inactive
CYTDn,0.0,0.1,Inactive
CYTDt,-0.4,0.1,Active
CYTDtl,0.0,0.0999999999999999,Inactive
CYTK12,-0.9000000000000001,0.1,Active
CYTK12n,-0.7000000000000008,0.1,Active
CYTK13n,-0.7000000000000001,0.1,Active
CYTK14,-0.8999999999999495,0.1,Active
CYTK1m,0.0,0.1,Inactive
CYTK2n,-0.6999999999999997,0.1,Active
CYTK3,-0.9000000000000001,0.1,Active
CYTK4,-0.9000000000000004,0.1,Active
CYTK5n,-0.6000000000000002,0.1,Active
CPK1,-0.9000000000000025,0.1,Active
CYTK6n,-0.5999999999999998,0.1,Active
CYTK7,-0.8999999999999996,0.1,Active
CYTK7n,-0.5999999999999998,0.1,Active
CYTK8,-0.9,0.1,Active
CYTK8n,-0.6,0.1,Active
DADNK,0.0,0.1,Inactive
DAG_HSter,0.0,0.1,Inactive
DAGK_hs,0.0,0.1,Inactive
DARGOp,0.0,0.0999999999999999,Inactive
DASCBH,0.0,0.1000000000000001,Inactive
DASPO1p,0.0,0.1,Inactive
DATPtn,1.2047351140816811e-16,0.1,Inactive
DCK1m,-0.399999999999967,0.0999999999999982,Active
DCK1n,-0.1999999999999109,0.1,Active
DLNLCGCPT2,0.0,0.1,Inactive
DCSPTN1CPT1,-1.6871840202969328e-17,0.1,Active
DCSPTN1CRNt,-0.0999999999999999,0.1,Active
DCSPTN1t,-0.0999999999999999,0.1,Active
DCTPtn,-0.0999999999999999,0.1,Active
DCYTD,0.0,0.1,Inactive
DCYTDn,0.0,0.1,Inactive
DCYTt,-0.3,0.1,Active
DECDPtm,0.0,0.0199999999999999,Inactive
DEDOLP2_L,0.0,0.0092592592592595,Inactive
DESAT18_10,0.0,0.1,Inactive
DESAT18_6,0.0,0.1,Inactive
DESAT18_12,0.0,0.1,Inactive
DESAT22_2p,0.0,0.1,Inactive
DESAT24_1,0.0,0.1,Inactive
DGCHOLte,-0.2,0.1,Active
DGSNt,-0.3000000000025381,0.1,Active
DGSNtm,-3.2721037991199594e-16,0.1,Active
DHCRD2,0.0,0.1,Inactive
DHDPBMTm,0.0,0.02,Inactive
DHEASt,-0.6000000000000503,0.1,Active
DHEASULT,0.0,0.1,Inactive
DHEAtr,-0.2,0.1,Active
DHFtl,-0.0249999999999999,0.0,Inactive
DHFtm,-0.0999999999999998,0.1,Active
DHORD9,0.0,0.1,Inactive
DHPM1,0.0,0.1,Inactive
DIGALSGALSIDEtg,-0.1,0.0,Inactive
DIGALSIDEtl,0.0,0.1,Inactive
DITPtn,-0.1000000000000011,0.1,Active
D_LACt2,-0.1,0.1,Active
DLNLCGCPT1,-0.1,0.1,Active
DM_Asn_X_Ser_Thr_l,-6.5155121599877586e-18,0.1,Active
DM_core5_g,0.0,0.1,Inactive
DM_dem2emgacpail_prot_hs_r,0.0,0.0333333333333333,Inactive
DM_dgpi_prot_hs_r,0.0,0.0333333333333333,Inactive
DM_dsT_antigen_g,0.0,0.05,Inactive
DM_kdn_c,0.0,0.1,Inactive
DM_melanin_c,0.0,0.1,Inactive
DM_n5m2masn_g,0.0,0.1,Inactive
DM_oretn_n,0.0,0.1,Inactive
DM_Ser_Thr_l,0.0,0.1,Inactive
DM_Ser_Gly_Ala_X_Gly_l,0.0,0.1,Inactive
DM_sprm_c,0.0,0.1,Inactive
DMANTIPYRINEte,-0.1,0.0,Inactive
DMATTx,0.0,0.0666666666666666,Inactive
DMGDHm,0.0,0.1,Inactive
DMGtm,0.0,0.1,Inactive
DMHPTCRNCPT2,-0.0833333333333333,0.0,Inactive
DMHPTCRNte,-2.307278606825464e-16,0.0833333333333334,Active
C110CPT2m,2.578578764934017e-17,0.0833333333333333,Inactive
DMNONCRNt,-0.1999999999999999,0.1,Active
DNADtn,-0.1000000000000001,0.1,Active
DNDPt10m,0.0,0.1,Inactive
DNDPt11m,0.0,0.1,Inactive
DNDPt13m,0.0,0.1,Inactive
DNDPt14m,0.0,0.1,Inactive
DNDPt15m,0.0,0.1,Inactive
DNDPt16m,0.0,0.1,Inactive
DNDPt17m,0.0,0.1,Inactive
DNDPt18m,0.0,0.1,Inactive
DNDPt1m,0.0,0.1,Inactive
DNDPt20m,0.0,0.1,Inactive
DNDPt21m,0.0,0.1,Inactive
DNDPt25m,0.0,0.1,Inactive
DNDPt28m,0.0,0.1,Inactive
DNDPt32m,0.0,0.1,Inactive
DNDPt37m,0.0,0.1,Inactive
DNDPt38m,0.0,0.1,Inactive
DNDPt39m,0.0,0.1,Inactive
DNDPt40m,0.0,0.1,Inactive
DNDPt42m,0.0,0.1,Inactive
DNDPt43m,0.0,0.1,Inactive
DNDPt45m,0.0,0.1,Inactive
DNDPt49m,0.0,0.1,Inactive
DNDPt50m,0.0,0.1,Inactive
DNDPt52m,0.0,0.1,Inactive
DNDPt55m,0.0,0.1,Inactive
DNDPt56m,0.0,0.1000000000000004,Inactive
DNDPt57m,0.0,0.1,Inactive
DNDPt59m,0.0,0.1,Inactive
DNDPt5m,0.0,0.1,Inactive
DNDPt60m,0.0,0.1,Inactive
DNDPt61m,0.0,0.1,Inactive
DNDPt62m,0.0,0.1,Inactive
DNDPt63m,0.0,0.1,Inactive
DNDPt6m,0.0,0.1,Inactive
DOLGPP_Ler,0.0,0.1,Inactive
DOLICHOL_Lter,0.0,0.0999999999999999,Inactive
DOLICHOL_Uter,0.0,0.1,Inactive
DOLK_U,0.0,0.1,Inactive
DOLPH_Uer,0.0,0.1,Inactive
DOLPMT_U,0.0,0.1,Inactive
DOLP_Lter,0.0,0.0999999999999872,Inactive
DOLP_Uter,0.0,0.1,Inactive
DOPAt4_2_r,-0.5000000000000001,0.1,Active
DOPAtu,-0.5,0.1,Active
DOPAVESSEC_1,0.0,0.1,Inactive
DPCOAtl,0.0,0.1,Inactive
DPGase,0.0,0.1,Inactive
DSAT,0.0,0.1,Inactive
DTDPtn,-0.0999999999999999,0.1,Active
DUDPtn,-0.1,0.1,Active
DURAD,-0.3,0.1,Active
DURAD2,-0.1999999999999997,0.1,Active
DURIK1,0.0,0.1,Inactive
DURIt,-0.3,0.1,Active
DUTPDPm,0.0,0.1,Inactive
EBASTINEOHtr,0.0,0.1,Inactive
EBASTINEte,0.0,0.1,Inactive
ECOAH12m,0.0,0.1,Inactive
ECOAH9m,-0.2000000000000001,0.1,Active
EICOSTETCPT1,1.7228362552679666e-17,0.1,Inactive
ENGASE2ly,0.0,0.0333333333333333,Inactive
ESTRADIOLGLCtr,-0.1,0.0,Inactive
ESTRADIOLt,-0.1,0.1,Active
ESTRIOLGLCte,0.0,0.1,Inactive
ESTRIOLtr,-0.1,0.1,Active
ESTRONEGLCt,0.0,0.1,Inactive
ESTRONESt,-0.7999999999999996,0.1,Active
ESTRONESt2,0.0,0.1,Inactive
ESTRONEtr,-0.2999999999999999,0.1,Active
ETF,0.0,0.1,Inactive
ETFQO,0.0,0.1,Inactive
ETHAK,0.0,0.1,Inactive
EX_10fthf5glu_e,-0.0999999999999999,0.1,Active
EX_10fthf6glu_e,-0.1,0.1,Active
EX_10fthf7glu_e,-0.1,0.0,Inactive
EX_11_cis_retfa_e,-0.0999999999999999,0.1,Active
EX_13_cis_retnglc_e,0.0,0.1,Inactive
EX_24nph_e,0.0,0.1000000000000001,Inactive
EX_25hvitd3_e,0.0,0.1,Inactive
EX_2hb_e,-0.0999999999999997,0.1,Active
EX_2mcit_e,0.0,0.1,Inactive
EX_34dhphe_e,-0.1999999999999999,0.1,Active
EX_35cgmp_e,0.0,0.0999999999999998,Inactive
EX_4hphac_e,0.0,0.1,Inactive
EX_4mptnl_e,0.0,0.1000000000000004,Inactive
EX_7dhf_e,-0.1,0.0,Inactive
EX_7thf_e,-0.1,0.0,Inactive
EX_9_cis_retfa_e,-0.1,0.1,Active
EX_acetone_e,-0.1,0.1,Active
EX_acgalfucgalacgalfuc12gal14acglcgalgluside_hs_e,0.0,0.0199999999999999,Inactive
EX_acnacngal14acglcgalgluside_hs_e,0.0,0.0999999999999998,Inactive
EX_adp_e,-0.1,0.1,Active
EX_ahandrostanglc_e,0.0,0.1,Inactive
EX_ala_B_e,-0.2,0.1,Active
EX_ala__D_e,-0.3000000000000058,0.1,Active
EX_aldstrn_e,0.0,0.1,Inactive
EX_andrstrn_e,-0.0999999999999995,0.1,Active
EX_andrstrnglc_e,0.0,0.1,Inactive
EX_antipyrene_e,-0.1,0.0,Inactive
EX_appnn_e,-0.1,0.0,Inactive
EX_arach_e,-0.3000899999998699,0.1,Active
EX_avite1_e,-0.1,0.1,Active
EX_avite2_e,-0.1,0.0,Inactive
EX_bhb_e,-0.0999999999999999,0.1,Active
EX_bildglcur_e,-9.55639033714449e-17,0.0999999999999998,Active
EX_biocyt_e,-0.0999999999999999,0.0,Inactive
EX_bvite_e,-0.1,0.0,Inactive
EX_caro_e,-0.1000000000000002,0.0,Inactive
EX_carveol_e,0.0,0.1,Inactive
EX_chol_e,-0.3,0.1,Active
EX_cholate_e,-0.6,0.1,Active
EX_chtn_e,-0.1666666666666667,0.0,Inactive
EX_clpnd_e,-0.10009,0.1,Active
EX_coumarin_e,-0.1,0.0,Inactive
EX_creat_e,-3.800000000000004,0.1,Active
EX_crmp_hs_e,-0.1,0.1000000000000001,Active
EX_crn_e,-0.3999999999999989,0.1,Active
EX_crtstrn_e,-0.1000000000000004,0.1,Active
EX_crvnc_e,-0.2001200000002007,0.1,Active
EX_cspg_c_e,-0.03,0.0166666666666666,Active
EX_cspg_e_e,-0.0166666666666662,0.0166666666666665,Active
EX_cyan_e,-0.1,-1.991133812811179e-17,Inactive
EX_dag_hs_e,-0.4000000000000001,0.1,Active
EX_dcsptn1_e,-0.10001,0.1,Active
EX_dhdascb_e,-0.1,0.1,Active
EX_dheas_e,-0.1999999999999999,0.0999999999999999,Active
EX_dhf_e,0.0,0.1,Inactive
EX_digalsgalside_hs_e,0.0,0.0999999999999994,Inactive
EX_dlnlcg_e,-0.10021,0.1,Active
EX_dmantipyrine_e,0.0,0.1,Inactive
EX_dmhptcrn_e,-3.7752014500730264e-33,0.0833333333333333,Active
EX_dopa_e,-0.4999999999999989,0.1,Active
EX_eaflatoxin_e,0.0,0.1,Inactive
EX_ebastine_e,-0.1,0.0,Inactive
EX_eicostet_e,-0.10004,0.1,Active
EX_estradiolglc_e,0.0,0.1,Inactive
EX_fucacngalacglcgalgluside_hs_e,0.0,0.0499999999999999,Inactive
EX_fucfuc12gal14acglcgalgluside_hs_e,0.0,0.0500000000000001,Inactive
EX_fucfucfucgalacglc13galacglcgal14acglcgalgluside_hs_e,0.0,0.0166666666666667,Inactive
EX_fucfucgalacglcgalgluside_hs_e,0.0,0.050000000000003,Inactive
EX_fucgal14acglcgalgluside_hs_e,0.0,0.0499999999999995,Inactive
EX_fucgalgbside_hs_e,0.0,0.0333333333333334,Inactive
EX_fuc__L_e,0.0,0.1,Inactive
EX_galacglcgalgbside_hs_e,0.0,0.0199999999999996,Inactive
EX_galfucgalacglcgal14acglcgalgluside_hs_e,0.0,0.02,Inactive
EX_gd1c_hs_e,-0.1,0.1000000000000006,Active
EX_gdp_e,-0.0999999999999999,0.1,Active
EX_gluala_e,-0.1,0.1,Active
EX_glyc__S_e,0.0,0.1,Inactive
EX_gp1calpha_hs_e,0.0,0.0333333333333333,Inactive
EX_gq1balpha_hs_e,3.884336971453645e-33,0.1,Inactive
EX_gsn_e,-0.2000000000000004,0.1,Active
EX_gt1a_hs_e,-0.1,0.1000000000000003,Active
EX_gthox_e,0.0,0.1,Inactive
EX_ha_e,-0.0749999999999999,0.1,Active
EX_ha_pre1_e,-0.1000000000000015,0.1,Active
EX_hcoumarin_e,0.0,0.1,Inactive
EX_hdcea_e,-0.40395,0.1,Active
EX_hexc_e,-0.10001,0.1,Active
EX_hom__L_e,-0.1999999999999999,0.0,Inactive
EX_hspg_e,-0.0083333333333333,0.00625,Active
EX_htaxol_e,0.0,0.1,Inactive
EX_i_e,-0.2,0.1,Active
EX_imp_e,-0.0999999999999995,0.1,Active
EX_ksi_e,-0.1063829787234042,0.0,Inactive
EX_ksii_core4_e,-0.0249999999999999,0.0090909090909092,Active
EX_lac__D_e,-0.100000000000006,0.1,Active
EX_cysi__L_e,-0.4,-3.6368489506695973e-16,Inactive
EX_leuktrB4_e,-0.1999999999999996,0.1,Active
EX_leuktrC4_e,-0.2999999999999931,0.1,Active
EX_leuktrD4_e,-0.2999999999999969,0.1,Active
EX_leuktrE4_e,-0.300000000000015,0.1,Active
EX_limnen_e,-0.1,0.0,Inactive
EX_lipoate_e,-0.1,0.0,Inactive
EX_lnlc_e,-0.2157299999999964,0.1,Active
EX_lnlnca_e,-0.10073,0.1,Active
EX_lpchol_hs_e,-0.1000000000000003,0.1,Active
EX_meoh_e,-0.1,0.1,Active
EX_mercplaccys_e,0.0,0.0999999999999999,Inactive
EX_mthgxl_e,0.0,0.1000000000000005,Inactive
EX_nad_e,-0.2,0.1,Active
EX_nadp_e,-0.1,0.0,Inactive
EX_nifedipine_e,-0.1,0.0,Inactive
EX_npthl_e,-0.1,0.0,Inactive
EX_nrpphr_e,-0.3999999999999999,0.0999999999999999,Active
EX_oagd3_hs_e,0.0,0.1,Inactive
EX_oagt3_hs_e,0.0,0.0999999999999993,Inactive
EX_ocdca_e,-1.4811299999996614,0.1,Active
EX_ocdcea_e,-0.8008000000000001,0.1,Active
EX_octa_e,-0.1,0.0125,Active
EX_onpthl_e,0.0,0.1,Inactive
EX_oxa_e,1.9965975181743108e-17,0.1,Inactive
EX_paf_hs_e,-0.0999999999999999,0.0999999999999999,Active
