,ids,growth,status
370,{'97.2'},0.10099999998857691,optimal
371,{'4363.1'},0.10099999998857691,optimal
372,{'359.1'},0.10099999998857691,optimal
373,{'25769.1'},0.10099999998857691,optimal
374,{'197257.2'},0.10099999998857691,optimal
375,{'23428.1'},0.10099999998857691,optimal
376,{'3037.1'},0.10099999998857691,optimal
377,{'81579.1'},0.10099999998857691,optimal
378,{'3764.1'},0.10099999998857691,optimal
379,{'5408.1'},0.10099999998857691,optimal
380,{'8398.2'},0.10099999998857691,optimal
381,{'5332.2'},0.10099999998857691,optimal
382,{'6543.1'},0.10099999998857691,optimal
383,{'2937.1'},0.10099999998857691,optimal
384,{'6549.1'},0.10099999998857691,optimal
385,{'493.1'},0.10099999998857691,optimal
386,{'84920.1'},0.10099999998857691,optimal
387,{'257068.1'},0.10099999998857691,optimal
388,{'314.1'},0.10099999998857691,optimal
389,{'5152.4'},0.10099999998857691,optimal
390,{'79837.1'},0.10099999998857691,optimal
391,{'115286.2'},0.10099999998857691,optimal
392,{'29968.1'},0.10099999998857691,optimal
393,{'144195.1'},0.10099999998857691,optimal
394,{'197258.1'},0.10099999998857691,optimal
395,{'1337.1'},0.10099999998857691,optimal
396,{'23761.1'},,infeasible
397,{'2983.1'},0.100999999988577,optimal
398,{'492.1'},0.10099999998857703,optimal
399,{'127124.2'},0.10099999998857703,optimal
400,{'5244.1'},0.10099999998857703,optimal
401,{'9187.1'},0.10099999998857703,optimal
402,{'3251.1'},,infeasible
403,{'51606.1'},0.100999999988577,optimal
404,{'65985.1'},0.10099999998857617,optimal
405,{'159963.1'},0.10099999998857617,optimal
406,{'47.1'},0.10099999998857617,optimal
407,{'23236.2'},0.10099999998857617,optimal
408,{'5095.1'},0.10099999998857617,optimal
409,{'5287.1'},0.10099999998857617,optimal
410,{'516.1'},0.10099999998857617,optimal
411,{'1340.1'},0.10099999998857617,optimal
412,{'3795.1'},0.10099999998857617,optimal
413,{'10476.1'},0.10099999998857617,optimal
414,{'52.3'},0.10099999998857617,optimal
415,{'3099.1'},0.10099999998857617,optimal
416,{'3418.1'},0.10099999998857703,optimal
417,{'2799.1'},0.10099999998857703,optimal
418,{'6487.3'},0.10099999998857703,optimal
419,{'682.1'},0.10099999998857703,optimal
420,{'6533.1'},0.10099999998857703,optimal
421,{'2109.2'},0.10099999998857703,optimal
422,{'5141.1'},0.10099999998857703,optimal
423,{'5372.1'},0.10099999998857703,optimal
424,{'9374.1'},0.10099999998857703,optimal
425,{'3632.1'},0.10099999998857703,optimal
426,{'126129.1'},0.10099999998857703,optimal
427,{'124.1'},0.10099999998857703,optimal
428,{'23057.2'},0.10099999998857703,optimal
429,{'192134.1'},0.10099999998857703,optimal
430,{'8034.1'},0.10099999998857703,optimal
431,{'1350.1'},0.10099999998857703,optimal
432,{'2984.1'},0.10099999998857703,optimal
433,{'1119.1'},0.10099999998857703,optimal
434,{'4166.1'},0.10099999998857703,optimal
435,{'26290.1'},0.10099999998857703,optimal
436,{'4538.1'},0.10099999998857703,optimal
437,{'204.1'},0.10099999998857703,optimal
438,{'515.1'},0.10099999998857703,optimal
439,{'2592.3'},0.10099999998857703,optimal
440,{'35.1'},0.10099999998857703,optimal
441,{'64849.1'},0.10099999998857703,optimal
442,{'26275.1'},0.10099999998857703,optimal
443,{'29925.2'},0.10099999998857703,optimal
444,{'37.1'},0.10099999998857703,optimal
445,{'548596.1'},0.10099999998857703,optimal
446,{'8654.2'},0.10099999998857703,optimal
447,{'1356.1'},0.10099999998857703,optimal
448,{'5291.1'},0.10099999998857703,optimal
449,{'29796.1'},0.10099999998857703,optimal
450,{'64802.1'},0.10099999998857703,optimal
451,{'7358.1'},0.10099999998857703,optimal
452,{'10327.2'},0.10099999998857703,optimal
453,{'6573.2'},0.10099999998857703,optimal
454,{'5230.1'},0.10099999998857703,optimal
