Gene_ID,Mesenchymal,Epithelial
51604_AT1,2.820919431,3.610269902
375056_AT1,6.007300582,5.402884739
24_AT1,-1.616482072,-1.800325719
5289_AT1,-1.904715296,-2.277063253
64220_AT1,4.261679473,-1.647437694
9524_AT1,-1.746108727,1.778912648
1606_AT1,2.744668041,2.946744493
5049_AT1,2.889566237,3.137321606
283209_AT1,3.191425678,4.415293096
9615_AT1,-2.256404902,2.48015359
64802_AT1,7.520185878,8.805367297
9942_AT1,5.590226232,3.733925718
10396_AT1,-7.120914767,-2.521847361
6489_AT1,2.196138693,2.654939664
374875_AT1,4.363809948,4.612587146
152586_AT1,0.960210388,1.100449254
84787_AT1,2.429053313,1.988204228
222962_AT1,8.681439344,9.006288233
64579_AT1,-3.678546476,-3.06774924
19_AT1,-1.964705208,3.110029145
2539_AT1,3.273772944,5.609686872
622_AT2,-9.611862541,4.425958452
5244_AT1,-2.483421749,-5.58640186
64132_AT1,2.229906387,-6.792108642
51727_AT1,2.641644622,2.816787712
1200_AT1,10.98413662,9.952421035
9045_AT1,13.08212782,12.81304071
2987_AT1,9.873756751,9.373265235
533_AT1,10.92280294,10.42764984
1327_AT1,12.16038951,12.63659771
8992_AT1,10.18267713,11.72748852
10728_AT1,12.88464976,12.35273789
6647_AT1,12.58923344,12.16906433
3069_AT1,8.795202498,9.033090721
2752_AT1,9.238525694,7.476452547
3939_AT1,12.87555713,12.16037825
292_AT1,12.39347718,12.45505247
5476_AT1,9.066584255,10.29226888
2739_AT1,12.6744627,11.77634089
3098_AT1,10.22602065,10.85046668
2806_AT1,11.76284073,11.22769165
37_AT1,8.563858998,9.520568508
2876_AT2,11.12848813,1.881175566
2495_AT1,12.17794467,12.80415725
1808_AT1,10.84216017,11.3986926
4144_AT1,12.73375347,12.31194358
1891_AT1,9.062700323,9.944573798
4953_AT1,11.82823395,9.793714475
50_AT1,8.115431845,8.235157228
5048_AT1,8.304337117,7.920738337
7167_AT1,12.43442334,12.30981999
6319_AT1,10.23083186,10.11010665
9588_AT1,11.97149987,11.83736288
10768_AT2,8.445303272,9.17823475
1718_AT1,11.55746834,11.42368239
5660_AT1,8.47500345,8.836966288
7385_AT1,10.57272573,10.37832198
1152_AT1,11.03569891,7.509994756
5223_AT1,11.97555675,11.19665206
191_AT1,10.35613649,9.63582923
6520_AT1,7.875750488,7.618041795
1337_AT1,12.84448844,12.96841176
2746_AT1,8.533616245,9.060047364
226_AT1,11.92469777,12.6584062
5538_AT1,11.39675927,11.55047769
4190_AT1,11.04231756,10.99552699
3032_AT1,10.3997177,10.86953373
10606_AT1,11.74926115,11.08343722
3945_AT1,12.9643499,4.412994385
3033_AT1,9.434242807,9.245559124
5214_AT1,9.570271885,10.32941609
23646_AT1,5.937709693,5.677837973
1537_AT1,9.338180921,9.291473504
526_AT1,8.904520093,8.88009138
6389_AT1,11.23282511,11.2794983
5211_AT2,6.648382299,8.228379376
2879_AT1,9.607734224,9.033940738
1351_AT1,11.90655476,12.44287248
47_AT2,9.226028619,8.813020369
1350_AT1,12.9577071,13.06713535
1892_AT1,11.3126824,11.66021642
8140_AT1,10.08322662,9.509879664
262_AT1,9.426510099,8.472907486
4714_AT1,11.12881775,9.959877933
2023_AT1,12.03578246,11.07862189
9789_AT1,9.746983966,9.838453522
481_AT1,5.352079667,8.132881995
6513_AT1,4.882238738,5.07916525
5315_AT2,11.43108539,11.44013065
10423_AT1,10.94580934,11.6813989
9167_AT1,11.77539007,11.9129905
7296_AT3,11.00656291,10.7109259
4831_AT1,12.7800531,12.92585272
231_AT1,12.13271777,2.38762329
