Genes,Sensitive,Resistant
SPPL2B,23.72666667,28.07333333
TMPRSS9,3.343,5.687
TIMM13,86.07666667,69.26333333
LMNB2,266.3666667,145.4333333
MIR7108,6.838666667,3.733
LINC01775,4.176333333,3.619
GADD45B,44.31,98.36333333
GNG7,4.518,11.72666667
DIRAS1,15.21333333,26.57333333
SLC39A3,39.56666667,29.52666667
SGTA,153.3333333,150.7666667
THOP1,68.93333333,44.10666667
ZNF554,3.774333333,5.661666667
ZNF555,1.702333333,2.629666667
ZNF556,7.172333333,9.952
ZNF57,10.20666667,14.20666667
ZNF77,6.692666667,8.170666667
TLE6,1.036,0.737533333
TLE2,6.217666667,8.379
TLE5,139.2666667,211.6333333
LOC105372242,0.258866667,0.398
GNA11,85.63666667,79.81
GNA15,44.06666667,11.953
GNA15-DT,5.118666667,1.441333333
S1PR4,1.151466667,1.999333333
NCLN,133.0333333,99.89
CELF5,0.549933333,1.266666667
LOC105372244,0.167166667,0.484833333
NFIC,46.60333333,54.60333333
SMIM24,0.136086667,0.596166667
LOC105372246,0.17458,0.085986667
DOHH,25.40333333,19.75666667
LOC105372245,2.605,2.260333333
FZR1,30.77333333,24.34666667
MFSD12,130.5,180.2333333
TEKTIP1,52.66333333,69.22666667
HMG20B,142.8666667,166.2333333
GIPC3,0.032066667,0.11587
TBXA2R,1.925,2.264
CACTIN-AS1,19.66333333,16.13
CACTIN,27.07,23.51333333
PIP5K1C,22.48333333,28.45666667
TJP3,2.520666667,2.028
APBA3,24.22666667,28.31666667
LOC105372248,0.072233333,0.286266667
MRPL54,100.5266667,100.9966667
MATK,2.324333333,0.514133333
ZFR2,2.469,3.693666667
ATCAY,0.109146667,0.109833333
NMRK2,0.348366667,0.7904
DAPK3,79.87666667,129.9
MIR637,15.24333333,37.99333333
EEF2,2790,4962.666667
SNORD37,8.165,12.95
PIAS4,23.43333333,25.72
ZBTB7A,16.43333333,16.59
MAP2K2,202.5333333,244.2666667
CREB3L3,11.235,1.715766667
SIRT6,37.02333333,33.41
ANKRD24,1.831,2.370666667
