ids,growth,model
270_AT1,359.90742526645005,Epithelial CSM
7363_AT1,359.90742526645005,Epithelial CSM
203_AT1,359.90742526645005,Epithelial CSM
1644_AT1,359.90742526645005,Epithelial CSM
8659_AT2,359.90742526645005,Epithelial CSM
127124_AT2,359.90742526645005,Epithelial CSM
140838_AT1,359.90742526645005,Epithelial CSM
28965_AT1,359.90742526645005,Epithelial CSM
759_AT1,359.90742526645005,Epithelial CSM
7083_AT1,359.90742526645005,Epithelial CSM
521_AT1,310.8291400028433,Epithelial CSM
4539_AT1,359.90742526645,Epithelial CSM
498_AT2,359.90742526645005,Epithelial CSM
6558_AT1,359.90742526645005,Epithelial CSM
2023_AT1,359.90742526645005,Epithelial CSM
170712_AT1,359.90742526644993,Epithelial CSM
1384_AT2,359.90742526645016,Epithelial CSM
9114_AT1,359.90742526644993,Epithelial CSM
1629_AT1,359.90742526644993,Epithelial CSM
8574_AT1,359.90742526644993,Epithelial CSM
4519_AT1,359.90742526644993,Epithelial CSM
3073_AT1,359.90742526644993,Epithelial CSM
5224_AT2,359.90742526644993,Epithelial CSM
218_AT1,359.90742526644993,Epithelial CSM
4548_AT1,359.90742526644993,Epithelial CSM
51606_AT1,359.90742526644993,Epithelial CSM
5238_AT1,359.90742526644993,Epithelial CSM
518_AT3,359.90742526644993,Epithelial CSM
51382_AT1,359.90742526644993,Epithelial CSM
4731_AT2,359.90742526645016,Epithelial CSM
509_AT2,359.9074252664502,Epithelial CSM
271_AT3,359.9074252664502,Epithelial CSM
2194_AT1,359.9074252664502,Epithelial CSM
200010_AT1,359.9074252664502,Epithelial CSM
10599_AT1,359.90742526645016,Epithelial CSM
1384_AT1,359.9074252664501,Epithelial CSM
250_AT1,359.9074252664501,Epithelial CSM
55748_AT1,359.9074252664501,Epithelial CSM
2181_AT1,359.9074252664501,Epithelial CSM
18_AT1,359.9074252664501,Epithelial CSM
51005_AT1,359.9074252664501,Epithelial CSM
89874_AT1,359.9074252664501,Epithelial CSM
1635_AT1,358.27836691769596,Epithelial CSM
2098_AT1,359.9074252664501,Epithelial CSM
93034_AT2,359.90742526645005,Epithelial CSM
2184_AT1,359.90742526645005,Epithelial CSM
2168_AT1,359.90742526645005,Epithelial CSM
8789_AT1,359.9074252664501,Epithelial CSM
9365_AT1,359.9074252664501,Epithelial CSM
56301_AT1,359.9074252664501,Epithelial CSM
10682_AT1,359.9074252664501,Epithelial CSM
29922_AT2,359.9074252664501,Epithelial CSM
79799_AT1,359.9074252664501,Epithelial CSM
80025_AT4,359.9074252664501,Epithelial CSM
7001_AT3,359.9074252664501,Epithelial CSM
23169_AT1,359.9074252664501,Epithelial CSM
27109_AT1,310.8291400028433,Epithelial CSM
8525_AT3,359.9074252664502,Epithelial CSM
594_AT1,359.90742526645005,Epithelial CSM
8525_AT2,359.90742526645005,Epithelial CSM
5831_AT1,359.90742526645005,Epithelial CSM
5831_AT2,359.90742526645005,Epithelial CSM
8526_AT1,359.90742526645005,Epithelial CSM
5337_AT1,359.90742526645005,Epithelial CSM
222_AT1,359.90742526645005,Epithelial CSM
641372_AT1,359.90742526645005,Epithelial CSM
10317_AT2,359.90742526645005,Epithelial CSM
57818_AT1,359.90742526645005,Epithelial CSM
4190_AT1,359.90742526645005,Epithelial CSM
222962_AT1,359.90742526645005,Epithelial CSM
9197_AT1,359.90742526645005,Epithelial CSM
2572_AT1,359.90742526645005,Epithelial CSM
100526794_AT1,359.90742526645005,Epithelial CSM
126328_AT1,359.90742526645005,Epithelial CSM
4718_AT1,359.90742526645005,Epithelial CSM
4698_AT1,359.90742526645005,Epithelial CSM
6531_AT1,359.90742526645005,Epithelial CSM
60481_AT1,359.90742526645005,Epithelial CSM
230_AT1,359.90742526645005,Epithelial CSM
3612_AT1,359.90742526645005,Epithelial CSM
3425_AT1,359.90742526645005,Epithelial CSM
55163_AT1,359.90742526645005,Epithelial CSM
54187_AT1,359.90742526645005,Epithelial CSM
231_AT1,359.90742526645005,Epithelial CSM
129807_AT1,359.90742526645005,Epithelial CSM
221_AT1,359.90742526645005,Epithelial CSM
8527_AT2,359.90742526645005,Epithelial CSM
23464_AT1,359.90742526645005,Epithelial CSM
10999_AT1,359.90742526645005,Epithelial CSM
3158_AT1,359.90742526645005,Epithelial CSM
2819_AT1,359.90742526645005,Epithelial CSM
7355_AT1,359.90742526645005,Epithelial CSM
10826_AT1,359.90742526645005,Epithelial CSM
498_AT3,359.90742526645005,Epithelial CSM
54963_AT1,359.90742526645005,Epithelial CSM
5313_AT2,359.90742526645005,Epithelial CSM
522_AT1,359.90742526645005,Epithelial CSM
9453_AT1,359.90742526645005,Epithelial CSM
2203_AT1,359.90742526645005,Epithelial CSM
1491_AT1,348.5071387290316,Epithelial CSM
9551_AT2,359.90742526645005,Epithelial CSM
10327_AT2,359.90742526645005,Epithelial CSM
56953_AT1,359.90742526645005,Epithelial CSM
411_AT2,359.90742526645005,Epithelial CSM
229_AT1,359.90742526645005,Epithelial CSM
4728_AT1,359.90742526645005,Epithelial CSM
4707_AT1,359.90742526645005,Epithelial CSM
4704_AT1,359.90742526645005,Epithelial CSM
2172_AT1,359.90742526645005,Epithelial CSM
4047_AT1,359.90742526645005,Epithelial CSM
7378_AT1,359.90742526645005,Epithelial CSM
2954_AT3,359.90742526645005,Epithelial CSM
5224_AT1,359.90742526645005,Epithelial CSM
2222_AT1,359.90742526645005,Epithelial CSM
54_AT1,359.90742526645005,Epithelial CSM
226_AT2,359.90742526645005,Epithelial CSM
2583_AT1,359.90742526645005,Epithelial CSM
7378_AT2,359.90742526645005,Epithelial CSM
4759_AT1,359.90742526645005,Epithelial CSM
284273_AT1,359.90742526645005,Epithelial CSM
4830_AT1,359.90742526645005,Epithelial CSM
1607_AT1,359.90742526645005,Epithelial CSM
669_AT2,359.90742526645005,Epithelial CSM
57835_AT1,359.90742526645005,Epithelial CSM
51292_AT1,359.90742526645005,Epithelial CSM
50484_AT1,357.7157816491649,Epithelial CSM
8372_AT1,359.90742526645005,Epithelial CSM
1120_AT2,359.90742526645005,Epithelial CSM
6307_AT1,359.90742526645005,Epithelial CSM
55512_AT1,359.90742526645005,Epithelial CSM
84706_AT1,359.90742526645005,Epithelial CSM
1376_AT1,359.90742526645005,Epithelial CSM
128_AT1,359.90742526645005,Epithelial CSM
533_AT1,359.90742526645005,Epithelial CSM
594_AT2,359.90742526645005,Epithelial CSM
518_AT2,359.90742526645005,Epithelial CSM
3177_AT1,338.9699188409166,Epithelial CSM
51102_AT1,359.9074252664501,Epithelial CSM
2180_AT1,359.90742526645005,Epithelial CSM
8854_AT1,359.90742526645005,Epithelial CSM
26289_AT2,359.90742526645005,Epithelial CSM
3421_AT1,359.90742526645005,Epithelial CSM
79586_AT1,359.90742526645005,Epithelial CSM
125_AT1,359.90742526645005,Epithelial CSM
1120_AT1,359.90742526645005,Epithelial CSM
760_AT1,359.90742526645005,Epithelial CSM
4540_AT1,359.90742526645005,Epithelial CSM
27068_AT4,359.90742526645005,Epithelial CSM
178_AT6,359.90742526645005,Epithelial CSM
124935_AT1,359.90742526645005,Epithelial CSM
5338_AT1,0.0,Epithelial CSM
6120_AT2,359.90742526645005,Epithelial CSM
31_AT3,359.90742526645,Epithelial CSM
132789_AT1,359.90742526645,Epithelial CSM
26330_AT1,359.90742526645,Epithelial CSM
10991_AT1,359.90742526645005,Epithelial CSM
3251_AT1,359.90742526645005,Epithelial CSM
6523_AT1,359.90742526644993,Epithelial CSM
8803_AT1,359.90742526645,Epithelial CSM
3419_AT1,359.90742526645,Epithelial CSM
3992_AT1,359.90742526645,Epithelial CSM
2108_AT1,359.90742526645,Epithelial CSM
7384_AT1,359.90742526645016,Epithelial CSM
6120_AT1,359.90742526644993,Epithelial CSM
79411_AT1,359.90742526645016,Epithelial CSM
31_AT2,359.9074252664502,Epithelial CSM
2720_AT1,359.9074252664502,Epithelial CSM
7001_AT2,359.9074252664502,Epithelial CSM
10559_AT1,359.9074252664502,Epithelial CSM
10390_AT1,359.9074252664502,Epithelial CSM
3615_AT1,359.9074252664502,Epithelial CSM
1103_AT1,359.9074252664502,Epithelial CSM
3938_AT1,359.9074252664502,Epithelial CSM
95_AT1,359.9074252664502,Epithelial CSM
211_AT2,359.9074252664502,Epithelial CSM
7084_AT1,359.9074252664502,Epithelial CSM
11001_AT1,359.9074252664502,Epithelial CSM
6391_AT1,347.6378539505485,Epithelial CSM
5091_AT1,359.90742526645045,Epithelial CSM
3421_AT2,359.90742526645016,Epithelial CSM
3948_AT1,359.90742526645016,Epithelial CSM
2224_AT1,359.90742526645016,Epithelial CSM
763_AT1,359.90742526645016,Epithelial CSM
113235_AT1,359.90742526645016,Epithelial CSM
6697_AT1,359.90742526645016,Epithelial CSM
51805_AT1,359.90742526645016,Epithelial CSM
2729_AT1,359.90742526645016,Epithelial CSM
1576_AT1,359.90742526645016,Epithelial CSM
2766_AT1,359.90742526645005,Epithelial CSM
47_AT1,359.90742526645,Epithelial CSM
64841_AT1,359.90742526645,Epithelial CSM
2109_AT1,359.90742526645,Epithelial CSM
523_AT1,359.90742526645,Epithelial CSM
2348_AT5,359.90742526645,Epithelial CSM
7364_AT1,359.90742526645,Epithelial CSM
29968_AT1,359.90742526645,Epithelial CSM
38_AT1,359.90742526645,Epithelial CSM
2571_AT2,359.90742526645,Epithelial CSM
26063_AT1,359.90742526645,Epithelial CSM
9356_AT1,359.9074252664502,Epithelial CSM
55967_AT1,359.90742526645005,Epithelial CSM
1468_AT1,310.82914000284325,Epithelial CSM
2582_AT2,359.90742526645005,Epithelial CSM
171425_AT1,359.90742526645005,Epithelial CSM
2678_AT1,359.90742526645005,Epithelial CSM
5211_AT2,359.90742526645005,Epithelial CSM
2717_AT1,359.90742526645005,Epithelial CSM
5162_AT1,359.90742526645005,Epithelial CSM
8050_AT1,310.8291400028432,Epithelial CSM
957_AT1,359.90742526645016,Epithelial CSM
8277_AT1,359.90742526645005,Epithelial CSM
27159_AT1,359.90742526645005,Epithelial CSM
6609_AT1,359.90742526645005,Epithelial CSM
23428_AT2,359.90742526645005,Epithelial CSM
29796_AT2,359.90742526645005,Epithelial CSM
390928_AT1,359.90742526645005,Epithelial CSM
3423_AT1,359.90742526645005,Epithelial CSM
91373_AT1,359.90742526645005,Epithelial CSM
10005_AT1,359.90742526645005,Epithelial CSM
29922_AT1,359.90742526645005,Epithelial CSM
2539_AT1,359.90742526645005,Epithelial CSM
514_AT2,359.90742526645005,Epithelial CSM
3420_AT3,359.90742526645005,Epithelial CSM
2538_AT1,359.90742526645005,Epithelial CSM
84076_AT1,359.90742526645005,Epithelial CSM
8898_AT1,359.90742526645005,Epithelial CSM
517_AT2,359.90742526645005,Epithelial CSM
646480_AT1,359.90742526645005,Epithelial CSM
2352_AT1,359.90742526645005,Epithelial CSM
1431_AT1,359.90742526645005,Epithelial CSM
9296_AT1,359.90742526645005,Epithelial CSM
2936_AT1,359.90742526645005,Epithelial CSM
55825_AT1,359.90742526645016,Epithelial CSM
26061_AT1,359.90742526645016,Epithelial CSM
79646_AT1,359.90742526645016,Epithelial CSM
80347_AT1,359.90742526645016,Epithelial CSM
115286_AT2,359.90742526645016,Epithelial CSM
93100_AT1,359.90742526645016,Epithelial CSM
248_AT1,359.90742526645016,Epithelial CSM
374291_AT1,359.9074252664501,Epithelial CSM
1737_AT1,359.9074252664501,Epithelial CSM
4695_AT1,359.9074252664501,Epithelial CSM
6560_AT1,359.9074252664501,Epithelial CSM
51606_AT2,359.9074252664501,Epithelial CSM
5805_AT1,359.9074252664501,Epithelial CSM
10825_AT1,359.9074252664501,Epithelial CSM
6564_AT1,359.9074252664501,Epithelial CSM
2954_AT1,359.9074252664501,Epithelial CSM
113451_AT1,359.9074252664501,Epithelial CSM
2348_AT6,359.9074252664501,Epithelial CSM
51205_AT1,359.9074252664501,Epithelial CSM
534_AT1,359.9074252664501,Epithelial CSM
2173_AT1,359.9074252664501,Epithelial CSM
53354_AT2,359.9074252664501,Epithelial CSM
115286_AT1,359.9074252664501,Epithelial CSM
10476_AT1,359.9074252664501,Epithelial CSM
5053_AT1,359.9074252664501,Epithelial CSM
339221_AT1,359.9074252664501,Epithelial CSM
11309_AT1,359.9074252664501,Epithelial CSM
23428_AT1,359.9074252664501,Epithelial CSM
245972_AT1,359.9074252664501,Epithelial CSM
3081_AT1,359.9074252664501,Epithelial CSM
51251_AT1,359.9074252664501,Epithelial CSM
224_AT1,359.9074252664501,Epithelial CSM
11164_AT1,359.9074252664501,Epithelial CSM
1375_AT1,359.9074252664501,Epithelial CSM
23305_AT1,359.9074252664501,Epithelial CSM
29920_AT1,359.9074252664501,Epithelial CSM
11332_AT1,359.9074252664501,Epithelial CSM
31_AT1,359.9074252664501,Epithelial CSM
529_AT1,359.9074252664501,Epithelial CSM
35_AT1,359.9074252664501,Epithelial CSM
7991_AT1,359.9074252664501,Epithelial CSM
221823_AT2,359.9074252664501,Epithelial CSM
1836_AT1,359.9074252664501,Epithelial CSM
6448_AT1,359.9074252664501,Epithelial CSM
6582_AT1,359.9074252664501,Epithelial CSM
8801_AT1,357.88614920127964,Epithelial CSM
122481_AT1,359.9074252664502,Epithelial CSM
10317_AT3,359.9074252664502,Epithelial CSM
5232_AT1,359.9074252664502,Epithelial CSM
345274_AT1,359.9074252664502,Epithelial CSM
4711_AT1,359.9074252664502,Epithelial CSM
10007_AT1,359.9074252664502,Epithelial CSM
2805_AT1,359.9074252664502,Epithelial CSM
10998_AT1,359.9074252664502,Epithelial CSM
7915_AT1,347.6378539505485,Epithelial CSM
6510_AT1,359.90742526645005,Epithelial CSM
6580_AT1,359.90742526645016,Epithelial CSM
50617_AT1,359.90742526645016,Epithelial CSM
6309_AT1,358.9985681319389,Epithelial CSM
9045_AT1,359.90742526645005,Epithelial CSM
52_AT1,359.90742526645005,Epithelial CSM
2687_AT1,359.90742526645005,Epithelial CSM
6536_AT1,359.90742526645005,Epithelial CSM
1608_AT1,359.90742526645005,Epithelial CSM
522_AT4,359.90742526645005,Epithelial CSM
6715_AT1,359.90742526645005,Epithelial CSM
847_AT1,359.9074252664503,Epithelial CSM
58510_AT1,359.90742526645016,Epithelial CSM
1622_AT1,359.90742526645016,Epithelial CSM
51071_AT1,335.3682826346472,Epithelial CSM
5837_AT1,359.9074252664502,Epithelial CSM
8604_AT1,359.9074252664502,Epithelial CSM
875_AT1,359.9074252664502,Epithelial CSM
3032_AT1,359.9074252664502,Epithelial CSM
5836_AT1,359.90742526645005,Epithelial CSM
9498_AT1,359.90742526645005,Epithelial CSM
2592_AT3,359.90742526645005,Epithelial CSM
7388_AT1,359.9074252664503,Epithelial CSM
57016_AT1,359.90742526645005,Epithelial CSM
55_AT1,359.90742526645005,Epithelial CSM
7389_AT1,359.90742526645005,Epithelial CSM
48_AT1,359.90742526645005,Epithelial CSM
669_AT1,359.90742526645005,Epithelial CSM
11136_AT1,359.90742526645005,Epithelial CSM
80150_AT1,359.90742526645005,Epithelial CSM
197257_AT2,359.90742526645005,Epithelial CSM
5184_AT1,359.90742526645005,Epithelial CSM
2875_AT1,359.90742526645005,Epithelial CSM
58478_AT1,359.90742526645005,Epithelial CSM
2876_AT2,359.90742526645005,Epithelial CSM
2348_AT4,359.90742526645005,Epithelial CSM
271_AT2,359.90742526645005,Epithelial CSM
54576_AT1,359.90742526645005,Epithelial CSM
7086_AT1,359.90742526645005,Epithelial CSM
29796_AT1,359.90742526645005,Epithelial CSM
6241_AT1,357.715781649165,Epithelial CSM
5223_AT1,359.90742526645005,Epithelial CSM
5091_AT2,359.9074252664501,Epithelial CSM
178_AT5,359.9074252664501,Epithelial CSM
4597_AT1,359.9074252664501,Epithelial CSM
22856_AT1,359.9074252664501,Epithelial CSM
1609_AT1,359.9074252664501,Epithelial CSM
3157_AT1,359.9074252664501,Epithelial CSM
9489_AT1,359.9074252664501,Epithelial CSM
290_AT1,359.90742526645005,Epithelial CSM
5236_AT1,359.90742526645,Epithelial CSM
51166_AT1,359.90742526645,Epithelial CSM
4712_AT1,359.90742526645,Epithelial CSM
8501_AT1,359.90742526645,Epithelial CSM
