,ids,growth,status
190,{'RE1534X'},286.2899973710399,optimal
191,{'r0795'},286.2899973710399,optimal
192,{'S6TASE3ly'},286.2899973710399,optimal
193,{'PYAM5PO'},286.2899973710399,optimal
194,{'GLYPROPRO1c'},286.2899973710399,optimal
195,{'SADT'},286.2899973710399,optimal
196,{'SO4t4_2'},286.2899973710399,optimal
197,{'UDPG4DOPA'},286.2899973710399,optimal
198,{'EX_lgnc_e'},286.2899973710399,optimal
199,{'PHYTt'},286.2899973710399,optimal
200,{'CATm'},286.2899973710399,optimal
201,{'EX_tststeroneglc_e'},286.2899973710399,optimal
202,{'EX_CE1950_e'},286.2899973710399,optimal
203,{'HMR_2287'},286.2899973710399,optimal
204,{'DPHMBDCm'},286.2899973710399,optimal
205,{'NDPK4m'},286.28999737103976,optimal
206,{'r2140'},286.2899973710398,optimal
207,{'CPS_m'},286.2899973710398,optimal
208,{'CHOLATEt'},286.2899973710399,optimal
209,{'FAOXC200180m'},286.2899973710398,optimal
210,{'HMR_1976'},286.2899973710399,optimal
211,{'GLUTCOAACBP'},286.2899973710399,optimal
212,{'O2tp'},286.2899973710399,optimal
213,{'DNDPt21m'},286.2899973710399,optimal
214,{'EX_5mta_e'},286.2899973710399,optimal
215,{'EX_caproic_e'},286.2899973710399,optimal
216,{'HMR_3322'},286.2899973710399,optimal
217,{'UMPK2'},286.2899973710399,optimal
218,{'GLNASNGLNr'},286.2899973710399,optimal
219,{'H2ETer'},286.2899973710399,optimal
220,{'NACHEXA7ly'},286.2899973710399,optimal
221,{'NDPK4'},286.2899973710399,optimal
222,{'LNELDCCRNtr'},286.2899973710399,optimal
223,{'HMR_6500'},286.2899973710399,optimal
224,{'HMR_1552'},286.2899973710399,optimal
225,{'ACGAMPM'},286.2899973710399,optimal
226,{'EX_orn_e'},286.2899973710399,optimal
227,{'GK1'},0.0,optimal
228,{'DSMSTEROLte'},286.2899973710394,optimal
229,{'METOX'},286.2899973710399,optimal
230,{'Q10H2e'},286.2899973710399,optimal
231,{'EX_crm_hs_e'},286.2899973710399,optimal
232,{'C3STDH1r'},286.2899973710399,optimal
233,{'DM_gpi_sig_r'},286.2899973710399,optimal
234,{'HMR_2888'},286.2899973710399,optimal
235,{'HMR_1548'},286.2899973710399,optimal
236,{'HMR_2861'},286.2899973710399,optimal
237,{'HSD3B7'},286.2899973710399,optimal
238,{'EX_gln__L_e'},286.2899973710399,optimal
239,{'HEXDIACtd'},286.2899973710399,optimal
240,{'GGH_7THFe'},286.2899973710399,optimal
241,{'GALt2_2'},286.28999737103857,optimal
242,{'DM_C02712_c'},286.2899973710398,optimal
243,{'SUCCtm'},286.2899973710399,optimal
244,{'TRPGLNGLNt'},286.2899973710399,optimal
245,{'RE1532X'},286.2899973710399,optimal
246,{'DGTPtm_cho'},286.2899973710399,optimal
247,{'MEV_Rt'},286.2899973710399,optimal
248,{'ETHAMPtr'},286.2899973710399,optimal
249,{'EX_ocdca_e'},286.2899973710399,optimal
250,{'PYDXNK'},286.2899973710399,optimal
251,{'GTMLTe'},286.2899973710399,optimal
252,{'CYTK2_1'},286.2899973710399,optimal
253,{'PYRt2p'},286.2899973710399,optimal
254,{'ABUTt2rL'},286.2899973710399,optimal
255,{'SUCOASm'},286.2899973710399,optimal
256,{'r0731'},286.2899973710399,optimal
257,{'EX_prohistyr_e'},286.2899973710399,optimal
258,{'r0732'},286.2899973710399,optimal
259,{'AKGtp'},286.2899973710399,optimal
260,{'LEUTA'},261.75085473923644,optimal
261,{'RE1523X'},286.2899973710399,optimal
262,{'EX_strch1_e'},286.2899973710399,optimal
263,{'EX_ahdt_e'},286.2899973710398,optimal
264,{'NTD1m'},286.2899973710399,optimal
265,{'EX_CE2006_e'},286.2899973710399,optimal
266,{'COAtim'},286.2899973710399,optimal
267,{'ASPGLUm'},286.2899973710398,optimal
268,{'EX_chol_e'},286.2899973710399,optimal
269,{'MAN1PT2'},286.2899973710399,optimal
270,{'H2Otp'},286.2899973710399,optimal
271,{'4MOPt2im'},261.7508547392364,optimal
272,{'HMR_9638'},286.2899973710399,optimal
273,{'UDPGLCURtr'},286.2899973710399,optimal
274,{'S2TASE5ly'},286.2899973710399,optimal
275,{'r1116'},285.53746227030354,optimal
276,{'ARGARGMETt'},286.2899973710399,optimal
277,{'CYTK13'},286.2899973710398,optimal
278,{'SUCFUMtm'},286.28999737103993,optimal
279,{'GDHm'},286.2899973710399,optimal
280,{'DUTPDPm'},286.2899973710399,optimal
281,{'HDD2CRNte2'},286.2899973710399,optimal
282,{'ASPVALASNr'},286.2899973710399,optimal
283,{'DESAT18_8'},286.2899973710399,optimal
284,{'RE1518M'},286.2899973710399,optimal
285,{'3SALAASPm'},286.2899973710399,optimal
286,{'SK_gly_c'},286.2899973710399,optimal
287,{'GLCAASE9ly'},286.2899973710399,optimal
288,{'r1292'},286.2899973710399,optimal
289,{'HMR_4772'},286.2899973710399,optimal
290,{'HMR_1465'},286.2899973710399,optimal
291,{'HMGCOAtx'},286.2899973710399,optimal
292,{'r2150'},286.2899973710399,optimal
293,{'AICARte'},286.2899973710399,optimal
294,{'3DPHBH2'},286.2899973710399,optimal
295,{'VALLYSTYRr'},286.2899973710399,optimal
296,{'IDOAASE2ly'},286.2899973710399,optimal
297,{'HS3ly'},286.2899973710399,optimal
298,{'FTHFLi'},286.2899973710399,optimal
299,{'EX_CE1925_e'},286.2899973710399,optimal
300,{'r1135'},286.2899973710399,optimal
301,{'r2142'},286.2899973710399,optimal
302,{'ORNDC'},286.2899973710399,optimal
303,{'EX_glu__L_e'},286.2899973710399,optimal
304,{'ANDRSTRNtr'},286.2899973710399,optimal
305,{'HMR_1545'},286.2899973710399,optimal
306,{'HMR_1538'},286.2899973710399,optimal
307,{'ACACT10m'},286.2899973710399,optimal
308,{'EX_argtyrval_e'},286.2899973710399,optimal
309,{'HMR_3116'},286.2899973710399,optimal
310,{'EX_octa_e'},286.2899973710399,optimal
311,{'SQLSr'},286.2899973710399,optimal
312,{'DHFR2i'},286.2899973710399,optimal
313,{'UGT1A3r'},286.2899973710399,optimal
314,{'r2143'},286.2899973710399,optimal
315,{'GGH_10FTHF5GLUe'},286.2899973710399,optimal
316,{'FAOXC16DCC14DCx'},286.2899973710399,optimal
317,{'H2MTer_U'},286.2899973710399,optimal
318,{'PYDXNO'},286.2899973710399,optimal
319,{'SK_tmndnccoa_c'},286.2899973710399,optimal
320,{'EX_cpppg1_e'},286.2899973710398,optimal
321,{'HMR_3321'},286.2899973710398,optimal
322,{'HMR_5389'},286.2899973710398,optimal
323,{'HMR_1547'},286.2899973710398,optimal
324,{'UMPK7'},286.2899973710398,optimal
325,{'HS2ly'},286.28999737103993,optimal
326,{'GGH_6THFe'},286.28999737103993,optimal
327,{'EX_imp_e'},286.2899973710399,optimal
328,{'H6ET3er'},286.28999737103993,optimal
329,{'DEDOLP2_L'},286.28999737103993,optimal
330,{'UNK3'},286.28999737103993,optimal
331,{'HMR_9176'},286.28999737103993,optimal
332,{'EX_ddeccrn_e'},286.28999737103993,optimal
333,{'FAOXC15NADPx'},286.28999737103993,optimal
334,{'XOLESTte'},286.2899973710395,optimal
335,{'r0783'},278.1102831604387,optimal
336,{'PYK2'},286.2899973710399,optimal
337,{'EX_arg__L_e'},286.2899973710399,optimal
338,{'EX_hxa_e'},286.28999737103976,optimal
339,{'C60CPT1'},286.2899973710398,optimal
340,{'SK_c226coa_c'},286.2899973710398,optimal
341,{'THRILEARGr'},286.28999737103993,optimal
342,{'C04717td'},286.28999737103993,optimal
343,{'EX_q10_e'},286.28999737103993,optimal
344,{'GARFT'},286.28999737103993,optimal
345,{'EX_ptrc_e'},286.28999737103993,optimal
346,{'7DHCHSTEROLtd'},286.28999737103993,optimal
347,{'GLUPRT'},286.28999737103993,optimal
348,{'PGLc'},278.1102831604386,optimal
349,{'PROARGCYSr'},286.2899973710398,optimal
350,{'DCMPDA'},286.2899973710399,optimal
351,{'C80CPT1'},286.2899973710399,optimal
352,{'RE1517X'},286.2899973710399,optimal
353,{'HMR_3953'},285.96962523112455,optimal
354,{'RE3413C'},286.2899973710399,optimal
355,{'r0627'},286.2899973710399,optimal
356,{'r0962'},286.2899973710399,optimal
357,{'FUMAC'},286.2899973710399,optimal
358,{'r2095'},286.2899973710399,optimal
359,{'O2Stx'},286.2899973710399,optimal
360,{'GLCAASE4ly'},286.2899973710399,optimal
361,{'AGTim'},286.2899973710399,optimal
362,{'MTRI'},286.2899973710399,optimal
363,{'HMR_1493'},286.2899973710399,optimal
364,{'PEHSFABPe'},286.2899973710399,optimal
365,{'r0393'},286.2899973710399,optimal
366,{'DM_ethamp_r'},286.2899973710399,optimal
367,{'NACHEX1ly'},286.2899973710399,optimal
368,{'GUAPRT'},286.2899973710399,optimal
369,{'TRPGLNGLNr'},286.2899973710399,optimal
370,{'PHEtec'},286.2899973710399,optimal
371,{'ILEARGILEr'},286.2899973710399,optimal
372,{'LEULEULAPc'},286.2899973710399,optimal
373,{'NACHEXA4ly'},286.2899973710399,optimal
374,{'XYLtly'},286.2899973710399,optimal
375,{'CLS_hs'},0.0,optimal
376,{'GGH_7DHFe'},286.2899973710388,optimal
377,{'DM_dctp_m'},286.2899973710398,optimal
378,{'FAOXC102C103m'},286.2899973710398,optimal
379,{'LINKDEG2ly'},286.2899973710398,optimal
380,{'IVCOAACBP'},286.2899973710398,optimal
381,{'r2434'},286.2899973710398,optimal
382,{'FAOXTC102C101m'},286.2899973710398,optimal
383,{'URIt4'},286.2899973710399,optimal
384,{'C161CPT12'},286.2899973710399,optimal
385,{'COQ6m'},286.2899973710399,optimal
386,{'DGTPtn'},286.2899973710399,optimal
387,{'EX_argargmet_e'},286.2899973710399,optimal
388,{'ECOAH1x'},286.2899973710399,optimal
389,{'GLCAASE5ly'},286.2899973710399,optimal
390,{'ACS'},286.2899973710399,optimal
391,{'GLACter'},286.2899973710399,optimal
392,{'r2094'},286.2899973710399,optimal
393,{'CYTK14'},286.2899973710399,optimal
394,{'HMR_8418'},286.2899973710399,optimal
395,{'CATp'},286.2899973710399,optimal
396,{'L_LACtcm'},286.2899973710399,optimal
397,{'CDIPTr'},0.0,optimal
398,{'EX_dopa4glcur_e'},286.2899973710399,optimal
399,{'PCRNtm'},286.2899973710399,optimal
400,{'COAtp'},286.2899973710399,optimal
401,{'r0575'},286.2899973710399,optimal
402,{'MALTt1r'},286.2899973710399,optimal
403,{'GLPASE2'},286.2899973710399,optimal
404,{'34DHPHELAT1tc'},286.2899973710399,optimal
405,{'HMR_1516'},286.2899973710399,optimal
406,{'SK_asn__L_c'},286.2899973710399,optimal
407,{'PRPPS'},286.2899973710399,optimal
408,{'HMR_2673'},286.2899973710399,optimal
